customer_id,age,gender,city,join_date,loyalty_status
1,58,Male,Bangalore,04-12-2019,Gold
2,33,Male,Hyderabad,09-12-2019,Silver
3,61,Male,Pune,26-10-2020,Silver
4,19,Male,Hyderabad,08-05-2021,Platinum
5,56,Male,Pune,12-06-2021,Platinum
6,59,Female,Hyderabad,29-09-2020,Platinum
7,35,Male,Hyderabad,18-01-2020,Gold
8,39,Female,Hyderabad,26-05-2021,Gold
9,24,Male,Mumbai,24-09-2021,Gold
10,40,Female,Bangalore,16-12-2019,Gold
11,52,Male,Mumbai,13-10-2021,Platinum
12,36,Female,Pune,19-06-2021,Platinum
13,22,Male,Hyderabad,02-11-2019,Gold
14,23,Male,Bangalore,08-12-2020,Gold
15,47,Female,Hyderabad,18-12-2020,Gold
16,31,Female,Bangalore,18-04-2020,Platinum
17,28,Male,Hyderabad,15-09-2020,Gold
18,35,Male,Chennai,22-08-2019,Silver
19,32,Male,Chennai,17-11-2020,Gold
20,22,Male,Pune,19-07-2019,Platinum
21,38,Male,Mumbai,22-11-2020,Platinum
22,47,Male,Chennai,12-08-2021,Silver
23,65,Female,Pune,20-10-2020,Platinum
24,43,Female,Hyderabad,13-08-2021,Platinum
25,49,Male,Bangalore,04-08-2019,Silver
26,27,Male,Mumbai,01-05-2020,Silver
27,42,Female,Pune,09-09-2020,Platinum
28,34,Male,Bangalore,03-02-2020,Platinum
29,35,Female,Bangalore,07-03-2021,Gold
30,28,Female,Bangalore,01-05-2019,Platinum
31,64,Female,Pune,13-11-2019,Silver
32,50,Male,Chennai,24-08-2019,Platinum
33,50,Male,Hyderabad,15-12-2020,Silver
34,52,Male,Pune,04-02-2021,Gold
35,19,Male,Chennai,17-07-2019,Gold
36,33,Male,Hyderabad,17-07-2019,Platinum
37,23,Male,Mumbai,19-09-2019,Silver
38,52,Male,Hyderabad,26-02-2020,Gold
39,53,Male,Chennai,10-07-2020,Platinum
40,45,Male,Pune,20-11-2019,Platinum
41,62,Male,Chennai,19-11-2020,Platinum
42,59,Female,Mumbai,25-06-2019,Platinum
43,46,Male,Hyderabad,16-05-2021,Silver
44,39,Male,Pune,13-06-2020,Silver
45,55,Male,Bangalore,21-10-2021,Platinum
46,58,Male,Hyderabad,24-10-2021,Silver
47,39,Male,Pune,03-05-2021,Gold
48,60,Female,Hyderabad,28-06-2020,Silver
49,64,Female,Hyderabad,21-10-2019,Gold
50,44,Male,Bangalore,24-09-2021,Platinum
51,45,Female,Mumbai,07-11-2020,Gold
52,64,Male,Bangalore,31-10-2021,Gold
53,64,Female,Bangalore,22-04-2021,Silver
54,30,Female,Hyderabad,26-10-2020,Silver
