order_id,product_id,quantity,unit_price
1,281,3,540.81
1,30,1,242.57
2,190,1,121.83
2,74,1,55.99
2,120,1,237.52
3,19,1,440.51
3,11,4,483.52
4,129,3,402.23
4,233,4,200.72
4,79,4,531.28
4,275,3,171.35
5,83,3,413.62
5,11,4,483.52
5,154,2,154.75
6,65,3,274.14
6,107,4,722.64
6,216,4,40.13
6,236,4,143.42
7,272,2,34.13
7,126,2,350.3
8,281,4,540.81
8,192,3,464.94
8,110,4,486.34
8,73,4,582.31
9,103,2,433.91
10,227,1,258.57
10,106,4,242.91
11,102,2,426.17
11,211,3,353.04
11,240,2,665.17
11,67,4,435.6
11,162,1,243.23
12,161,3,38.96
13,162,4,243.23
13,244,3,697.76
13,90,3,128.94
13,156,1,548.55
13,288,2,378.62
14,288,4,378.62
14,144,2,218.18
15,196,4,345.74
15,195,4,113.15
16,293,2,51.05
16,230,1,53.69
16,252,3,430.02
16,174,1,302.42
16,190,1,121.83
17,101,3,327.05
18,214,2,424.2
18,187,3,306.23
18,99,3,379.05
18,267,1,681.5
18,251,3,522.86
19,173,1,468.22
19,140,4,131.71
19,42,3,413.89
19,283,1,692.75
20,103,4,433.91
20,195,4,113.15
20,19,3,440.51
20,193,3,633.86
21,134,2,596.81
21,251,3,522.86
21,137,1,515.22
22,66,1,603.1
23,39,1,434.02
24,55,1,129.92
24,29,2,90.14
24,103,1,433.91
25,26,1,339.09
25,199,3,583.52
26,96,4,169.06
26,148,1,126.82
26,227,2,258.57
26,260,1,247.17
26,41,2,473.85
27,39,2,434.02
28,212,3,713.36
28,112,4,550.02
28,129,3,402.23
28,124,1,197.94
28,129,3,402.23
29,221,1,350.93
29,229,1,399.27
29,46,3,397.16
29,186,1,478.46
29,292,3,42.88
30,154,4,154.75
30,161,2,38.96
30,117,2,213.28
30,22,3,95.21
31,232,2,595.29
31,73,4,582.31
31,215,1,578.24
31,72,3,651.51
32,78,2,78.14
32,112,1,550.02
33,255,4,647.2
34,256,4,430.95
34,223,2,257.83
34,250,1,147.87
34,181,1,312.55
34,35,3,416.31
35,214,4,424.2
35,7,3,392.66
36,67,3,435.6
36,175,3,137.02
36,66,3,603.1
36,290,4,232.42
36,33,1,446.14
37,244,3,697.76
37,285,3,517.27
37,296,3,481.65
38,122,2,158.87
38,251,4,522.86
38,10,3,230.49
38,262,1,632.42
38,197,2,114.98
39,231,4,219.35
40,115,1,473.54
40,168,3,215.05
41,275,2,171.35
41,97,1,318.77
41,152,1,631.71
42,153,3,657.55
43,189,4,460.23
44,56,3,544.96
44,234,3,407.72
44,102,4,426.17
45,168,4,215.05
46,166,4,38.78
46,92,3,464.89
46,18,3,232.27
46,166,1,38.78
47,53,2,644.02
47,121,1,127.77
48,206,1,454.11
48,269,4,458.25
48,203,2,179.87
48,281,1,540.81
49,29,1,90.14
49,27,2,656.41
50,257,3,348.88
50,166,4,38.78
51,282,1,555.45
51,21,2,394.83
51,19,2,440.51
51,118,4,601.67
52,109,2,81.4
52,275,1,171.35
52,145,3,505
52,285,3,517.27
53,101,3,327.05
53,134,4,596.81
53,62,3,372.92
54,95,1,158.13
54,22,4,95.21
55,156,3,548.55
55,238,1,273.76
56,111,2,314.21
57,201,2,178.47
57,252,4,430.02
57,288,3,378.62
57,128,1,63.64
58,156,4,548.55
59,111,2,314.21
59,217,3,35.61
59,39,3,434.02
60,73,3,582.31
60,234,2,407.72
60,62,1,372.92
61,297,3,141.7
61,139,1,346.76
61,289,4,585.07
61,33,2,446.14
62,222,4,511.34
62,212,2,713.36
62,7,1,392.66
62,33,3,446.14
63,97,2,318.77
63,230,1,53.69
63,23,4,605.58
