order_id,order_date,customer_id,store_id,discount,payment_mode,order_status
1,23-05-2022,1007,10,0.11,Cash,Completed
2,14-05-2022,1680,9,0.11,Cash,Completed
3,20-02-2024,15,10,0.01,Card,Completed
4,01-03-2024,1157,10,0.08,Cash,Completed
5,04-04-2023,592,5,0.13,UPI,Returned
6,29-03-2022,1884,7,0.14,Cash,Completed
7,28-06-2024,1592,8,0.07,Card,Returned
8,27-01-2023,2329,4,0.19,Cash,Completed
9,11-08-2022,2224,8,0.06,Cash,Returned
10,23-11-2023,2260,3,0.13,Cash,Returned
11,19-12-2022,1120,10,0.15,Cash,Returned
12,18-07-2022,268,2,0,UPI,Completed
13,20-02-2023,617,4,0.06,UPI,Completed
14,08-11-2022,669,7,0.02,Cash,Returned
15,21-08-2022,2720,3,0.18,UPI,Completed
16,16-12-2022,82,10,0.14,Card,Returned
17,29-12-2022,553,10,0.06,Card,Completed
18,22-08-2023,2914,2,0.07,Card,Completed
19,08-12-2022,214,4,0.14,Card,Returned
20,25-09-2022,2557,1,0.15,UPI,Completed
21,22-01-2024,2100,7,0.08,Card,Completed
22,10-07-2024,2752,2,0.16,Card,Completed
23,13-05-2023,305,3,0.07,UPI,Completed
24,28-01-2022,1398,10,0.01,Cash,Returned
25,16-01-2023,376,2,0,Cash,Completed
26,20-12-2024,790,8,0.16,Cash,Returned
27,09-02-2023,1079,3,0.18,Cash,Completed
28,19-01-2023,1317,4,0.03,Cash,Completed
29,27-11-2022,265,1,0.01,Card,Completed
30,16-10-2023,1847,6,0.15,Card,Completed
31,19-04-2024,1905,8,0.06,Card,Returned
32,21-02-2024,2590,3,0.08,UPI,Returned
33,03-02-2022,1603,8,0.03,Card,Completed
34,21-11-2022,1244,9,0.06,UPI,Returned
35,03-09-2024,2490,5,0.03,Cash,Returned
36,21-11-2022,1387,5,0.14,Card,Completed
37,04-07-2024,1516,7,0.05,Card,Completed
38,03-02-2023,521,6,0.16,Cash,Completed
39,21-10-2023,334,9,0.1,Cash,Completed
40,31-01-2023,1132,3,0.07,UPI,Returned
41,15-09-2024,2302,3,0.16,Card,Returned
42,04-02-2023,2145,9,0.06,Card,Returned
43,23-02-2023,591,5,0.01,Cash,Returned
44,30-10-2022,1830,7,0.11,Cash,Returned
45,07-08-2023,668,10,0.03,UPI,Completed
46,26-01-2024,581,6,0.17,Card,Completed
47,13-11-2024,229,3,0.1,UPI,Completed
48,08-01-2024,1463,6,0.02,Card,Completed
49,01-03-2023,1838,3,0.02,Card,Completed
50,07-09-2024,174,1,0.04,UPI,Completed
51,21-03-2024,79,9,0.15,Card,Completed
52,15-01-2022,1432,2,0.12,Card,Completed
53,12-11-2024,1591,3,0.17,Cash,Completed
54,13-07-2024,119,8,0.12,Cash,Returned
55,07-08-2022,843,4,0.15,Cash,Completed
56,16-04-2023,2322,5,0.04,UPI,Completed
57,15-11-2023,846,8,0.19,Card,Completed
58,08-08-2022,2,1,0.12,UPI,Completed
59,21-02-2024,2985,10,0.19,UPI,Completed
60,05-05-2024,2678,1,0.06,UPI,Completed
61,02-09-2024,716,1,0.02,Cash,Completed
62,18-03-2023,267,7,0.14,UPI,Completed
63,31-07-2023,2945,8,0.04,Card,Completed
64,27-09-2024,949,1,0.06,UPI,Completed
65,13-04-2024,713,10,0.08,Card,Completed
66,27-06-2022,2467,5,0.18,Card,Completed
67,13-10-2022,844,7,0.02,Card,Completed
68,28-09-2024,479,6,0.15,Card,Returned
